S4TAX_0001	Configurações de ambiente	Configurações de ambiente
S4TAX_0002	Configurações de comunicação	Configurações de comunicação
S4TAX_0003	Habilitar tipo de documento fiscal	Habilitar tipo de documento fiscal
S4TAX_0004	Monitor de requisições ao Orbit	Monitor de requisições ao Orbit
S4TAX_0005	Cadastro de Grupos SAP <-> Orbit	Cadastro de Grupos SAP <-> Orbit
S4TAX_0006	Cadastro de Empresas SAP <-> Orbit	Cadastro de Empresas SAP <-> Orbit
S4TAX_0007	Cadastro de Filiais SAP <-> Orbit	Cadastro de Filiais SAP <-> Orbit
S4TAX_0008	Versionamento de Produtos	Versionamento de Produtos
S4TAX_0009	Lista de transações por módulos 4Tax	Lista de transações por módulos 4Tax
S4TAX_0010	Tarefas de Instalação	Tarefas de Instalação
S4TAX_0011	Exibição de várias tabelas	Exibição de várias tabelas
S4TAX_0012	Lista de jobs do produto	Lista de jobs do produto
S4TAX_0013	Status do Conector	Status do Conector
S4TAX_0014	Editor tabelas via CSV	Editor tabelas via CSV
S4TAX_0015	Configurações de envio de erros	Configurações de envio de erros
S4TAX_0016	Configurações tabelas CUTE	Configurações tabelas CUTE
S4TAX_0017	Configurações campos CUTE	Configurações campos CUTE
S4TAX_CUTE	Editor de tabelas customizado	Editor de tabelas customizado
S4TAX_MB_001	Relatório de documentos	Relatório de documentos
S4TAX_MENU	Lista de transações por módulos 4Tax	Lista de transações por módulos 4Tax
S4TAX_TASKS	Tarefas de instalação	Tarefas de instalação
